assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,82,100,100,4,444145,None,,0,0,-1,1,133.4,226,134,None,,0,3,0.0,5.0,1,Gabriel Teodoro,2.0,3,1,50.0,275,129,26,False,108.6,357,152,566,,2021-01-09T23:30:20.360437Z,49,0,0,None,0,,444145.jpg,2.4,0,0,Martinelli Silva,0.3,False,None,a,1,3,259.0,144,85,29,113845,385,97683,4621,0.4,5.9,Martinelli,0
0,0,0,0,0,0,462424,None,,0,0,-5,5,0.0,530,212,None,,0,2,0.0,0.0,0,William,0.0,0,0,0.0,558,211,27,False,0.0,549,211,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.5,False,None,u,1,3,0.0,507,200,0,30961,0,228024,72,0.0,0.0,Saliba,0
0,0,216,100,100,3,131897,None,,0,0,-4,4,10.7,409,3,None,,0,1,0.0,4.2,0,Mathew,1.6,21,0,20.6,373,23,70,False,193.6,285,23,1260,,2021-02-01T19:30:26.014607Z,41,0,0,None,0,,131897.jpg,2.6,0,24,Ryan,5.8,False,None,a,1,3,2.0,431,2,37,512033,1202,1305046,3663,0.4,9.0,Ryan,1
7,9,306,100,100,3,47431,1,,0,0,-5,5,534.8,46,34,2,,1,3,0.0,6.6,10,Willian,2.8,17,1,102.3,119,70,478,False,256.2,251,106,1398,,2021-03-19T01:00:27.116549Z,75,0,0,None,0,,47431.jpg,3.1,0,0,Borges Da Silva,2.7,False,None,a,1,3,228.0,163,92,78,809289,566,1377610,888,0.4,10.4,Willian,0
0,7,352,100,100,5,226597,None,,0,0,-1,1,45.1,343,116,None,,1,2,0.0,7.8,9,Gabriel,3.4,23,2,71.3,212,63,494,False,438.8,144,57,1816,,2020-12-26T18:00:16.873188Z,49,0,0,None,0,,226597.jpg,3.3,1,0,Magalhães,4.5,False,None,a,1,3,229.0,160,26,70,1050110,1226,1199309,2808,0.7,14.3,Gabriel,2
4,7,331,100,100,6,182539,4,,0,0,-3,3,422.3,69,49,None,,0,3,0.0,6.6,1,Daniel,2.8,17,0,92.4,144,80,501,False,359.8,190,76,1609,,2021-01-18T22:00:23.859834Z,47,0,0,None,0,,182539.jpg,2.5,0,0,Ceballos Fernández,0.8,False,None,a,1,3,141.0,227,114,62,161334,285,253081,3540,0.6,13.2,Ceballos,4
0,3,249,100,100,5,153256,None,,0,0,-3,3,93.4,267,152,None,,1,3,0.0,8.2,5,Mohamed Naser,3.6,19,1,36.5,326,146,526,False,193.4,286,122,1448,,2020-11-16T22:00:27.131231Z,42,0,0,None,0,,153256.jpg,2.2,0,0,El Sayed Elneny,1.1,False,None,a,1,3,79.0,301,147,49,311812,1726,296697,3100,0.9,11.7,Elneny,2
0,0,0,0,0,0,113534,None,,0,0,0,0,0.0,502,24,None,,0,1,0.0,0.0,0,Matt,0.0,0,0,0.0,532,50,527,False,0.0,523,51,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,None,0,,113534.jpg,0.0,0,0,Macey,0.9,False,None,u,1,3,0.0,479,20,0,171821,0,150725,411,0.0,0.0,Macey,0
0,0,8,100,100,0,115918,None,,0,0,-1,1,0.0,580,56,None,,0,1,0.0,1.0,0,Rúnar Alex,0.0,0,0,1.7,473,34,547,False,16.6,452,34,15,,2021-02-21T22:00:20.597889Z,44,0,0,None,0,,115918.jpg,1.0,0,2,Rúnarsson,0.0,False,None,a,1,3,0.0,564,52,1,5459,14,5252,38,0.0,0.2,Rúnarsson,0
2,0,246,100,100,5,167199,None,,0,0,-1,1,186.1,193,119,None,,0,3,0.0,3.4,3,Thomas,1.2,17,0,55.8,255,118,567,False,270.8,241,100,1362,,2021-02-06T17:30:27.330271Z,49,0,0,None,0,,167199.jpg,1.9,0,0,Partey,0.3,False,None,a,1,3,99.0,272,134,42,122053,141,115032,539,0.2,8.6,Partey,5
