name,total_points,pos,minutes,now_cost,was_home,ict_index,xG,xA,clean_sheets,strength,saves,opponent_team,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
JeanPhilippeMateta,0,4,0,57,True,0.0,0.06450967490673065,0.004073832184076309,0,3,0,8,1240,1280,1270,1310
JeanPhilippeMateta,0,4,0,57,True,0.0,0.06450967490673065,0.004073832184076309,0,3,0,13,1190,1190,1200,1180
JedSteer,0,1,0,39,False,0.0,0.0,0.0,0,3,0,10,1060,1110,1130,1160
JedSteer,0,1,0,39,False,0.0,0.0,0.0,0,3,0,15,1110,1130,1010,1050
JeffreySchlupp,0,3,0,53,True,0.0,0.09882424647609393,0.08138562780287531,0,3,0,8,1240,1280,1270,1310
JeffreySchlupp,1,3,6,53,True,0.2,0.09882424647609393,0.08138562780287531,0,3,0,13,1190,1190,1200,1180
JeffHendrick,0,3,0,45,True,0.0,0.06155521091487673,0.0796238943003118,0,4,0,20,1140,1200,1110,1160
JensenWeir,0,3,0,45,False,0.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
JesseLingard,5,3,90,61,False,10.7,0.47176725169022876,0.24725433687369025,0,4,0,12,1260,1320,1330,1350
JimmyDunne,0,2,0,38,False,0.0,0.11118774302303792,0.05100015737116337,0,4,0,17,1190,1240,1280,1320
JimmyDunne,0,2,0,38,True,0.0,0.11118774302303792,0.05100015737116337,0,4,0,9,1190,1190,1200,1180
JoachimAndersen,6,2,90,45,False,7.3,0.019619604167730915,0.018900099979794544,1,4,0,6,1100,1150,1020,1050
JoachimAndersen,0,2,0,45,True,0.0,0.019619604167730915,0.018900099979794544,0,4,0,17,1190,1240,1280,1320
JoelintonCássioApolináriodeLira,2,4,90,57,True,10.0,0.0,0.0,0,4,0,20,1140,1200,1110,1160
JoelMatip,0,2,0,54,False,0.0,0.07844753786921502,0.11802754700183868,0,4,0,15,1110,1130,1010,1050
JoelMatip,0,2,0,54,True,0.0,0.07844753786921502,0.11802754700183868,0,4,0,5,1240,1280,1270,1310
JoelMumbongo,0,4,0,45,False,0.0,0.0,0.0,0,4,0,17,1190,1240,1280,1320
JoelMumbongo,0,4,0,45,True,0.0,0.0,0.0,0,4,0,9,1190,1190,1200,1180
JoelWard,6,2,90,43,True,1.0,0.000707943704636658,0.02440321133198107,1,3,0,8,1240,1280,1270,1310
JoelWard,9,2,90,43,True,2.1,0.000707943704636658,0.02440321133198107,1,3,0,13,1190,1190,1200,1180
JoeBryan,0,2,0,46,False,0.0,0.011066879766682783,0.00870895137389501,0,4,0,6,1100,1150,1020,1050
JoeBryan,0,2,0,46,True,0.0,0.011066879766682783,0.00870895137389501,0,4,0,17,1190,1240,1280,1320
JoeGelhardt,0,4,0,45,True,0.0,0.0,0.0,0,3,0,2,1150,1150,1180,1210
JoeHart,0,1,0,43,True,0.0,0.0,0.0,0,4,0,4,1170,1210,1190,1200
JoeHart,0,1,0,43,False,0.0,0.0,0.0,0,4,0,8,1240,1280,1270,1310
JoeRodon,0,2,0,50,True,0.0,0.0,0.0,0,4,0,4,1170,1210,1190,1200
JoeRodon,0,2,0,50,False,0.0,0.0,0.0,0,4,0,8,1240,1280,1270,1310
JohannBergGudmundsson,0,3,0,54,False,0.0,0.081306691840291,0.02154256453116735,0,4,0,17,1190,1240,1280,1320
JohannBergGudmundsson,0,3,0,54,True,0.0,0.081306691840291,0.02154256453116735,0,4,0,9,1190,1190,1200,1180
JohnEgan,0,2,0,47,True,0.0,0.01228920573538,0.025301674211567097,0,2,0,11,1150,1170,1210,1250
JohnEgan,0,2,0,47,True,0.0,0.01228920573538,0.025301674211567097,0,2,0,2,1150,1150,1180,1210
JohnFleck,2,3,79,56,True,1.8,0.020242547955025326,0.09103699329055169,0,2,0,11,1150,1170,1210,1250
JohnFleck,3,3,90,56,True,2.8,0.020242547955025326,0.09103699329055169,1,2,0,2,1150,1150,1180,1210
