,actual_points,gameweek,name,points,pos,team_code,total_points_gw,type,value
46,2,12,BenjaminChilwell,5.063113598725566,2.0,8,81.0,player,6.2
47,3,12,BrunoMiguelBorgesFernandes,8.11352754901988,3.0,1,81.0,player,11.0
48,5,12,DominicCalvertLewin,19.85946299975955,4.0,11,81.0,player,7.9
49,11,12,EmilianoMartínez,5.2603924495474494,1.0,7,81.0,player,4.8
50,9,12,HarryKane,22.451565852278687,4.0,6,81.0,player,10.9
51,2,12,JackGrealish,8.294634817761912,3.0,7,81.0,player,7.8
52,13,12,JamieVardy,18.657152310235524,4.0,13,81.0,player,10.3
53,5,12,JarrodBowen,4.8736597024226205,3.0,21,81.0,player,6.4
54,2,12,KurtZouma,4.602453637677577,2.0,8,81.0,player,5.7
55,8,12,TyroneMings,4.854040834515802,2.0,7,81.0,player,5.3
56,6,12,AlexMcCarthy,4.629336357860175,1.0,20,81.0,sub,4.6
57,1,12,LukeAyling,4.018633668257246,2.0,2,81.0,sub,4.5
58,1,12,StuartDallas,3.906926685626509,2.0,2,81.0,sub,4.6
59,9,12,TomasSoucek,3.830165384042578,3.0,21,81.0,sub,5.0
60,3,13,AdemolaLookman,4.54441923461421,3.0,54,65.0,player,5.0
61,5,13,BenjaminChilwell,5.03567642204457,2.0,8,65.0,player,6.2
62,2,13,BrunoMiguelBorgesFernandes,7.600781028300089,3.0,1,65.0,player,11.0
63,5,13,DominicCalvertLewin,19.734913823602874,4.0,11,65.0,player,7.9
64,8,13,EmilianoMartínez,5.495233593826342,1.0,7,65.0,player,4.9
65,2,13,HarryKane,21.15133370523484,4.0,6,65.0,player,11.0
66,3,13,JackGrealish,8.332560687196587,3.0,7,65.0,player,7.8
67,7,13,MohamedSalah,8.21389306383835,3.0,14,65.0,player,12.4
68,6,13,PatrickBamford,16.7425841780328,4.0,2,65.0,player,6.3
69,7,13,StuartDallas,4.1181556693039445,2.0,2,65.0,player,4.6
70,6,13,TyroneMings,5.076490872372143,2.0,7,65.0,player,5.3
71,3,13,AlexMcCarthy,4.492904939315161,1.0,20,65.0,sub,4.6
72,6,13,CharlieTaylor,3.634113725963714,2.0,90,65.0,sub,4.4
73,2,13,CurtisJones,2.348225725862376,3.0,14,65.0,sub,4.4
74,0,13,MaxKilman,1.8635788871457402,2.0,39,65.0,sub,4.2
75,2,14,AdemolaLookman,4.521328585096152,3.0,54,70.0,player,5.0
76,1,14,BenjaminChilwell,4.67711068767012,2.0,8,70.0,player,6.1
77,17,14,BrunoMiguelBorgesFernandes,7.929632177551537,3.0,1,70.0,player,11.0
78,4,14,DominicCalvertLewin,18.662504552612614,4.0,11,70.0,player,7.9
79,6,14,EmilianoMartínez,5.515431123836639,1.0,7,70.0,player,4.9
80,2,14,HarryKane,20.428019959962327,4.0,6,70.0,player,11.0
81,10,14,JackGrealish,8.507002974096475,3.0,7,70.0,player,7.8
82,12,14,JamieVardy,19.39476307033982,4.0,13,70.0,player,10.2
83,6,14,KurtZouma,4.518700508843423,2.0,8,70.0,player,5.8
84,2,14,PedroLombaNeto,4.57339156861264,3.0,39,70.0,player,5.9
85,5,14,TyroneMings,5.20520875279926,2.0,7,70.0,player,5.3
86,1,14,IllanMeslier,4.341367045149913,1.0,2,70.0,sub,4.6
87,2,14,JackHarrison,4.211169146508632,3.0,2,70.0,sub,5.4
88,-1,14,LukeAyling,3.8606315029748033,2.0,2,70.0,sub,4.5
89,1,14,VladimirCoufal,3.841444784117909,2.0,21,70.0,sub,4.6
